TopLeftLat,TopLeftLon,BottomRightLat,BottomRightLon,WeightPrice,WeightSqr,Price,PriceSqr,Hits,PointsForSqrPriceInterval,PointsForPriceInterval,PointsForZoom,PointsForDays,PointsForHits,PointsForDistance,SumPointsPrice,SumPointsSqr
59.40933499999999,17.96395099999998,59.40733499999999,17.96895099999998,1,1,2270000,35000,4,30,30,-60,-5,0,20,-15,-15
59.40933499999999,17.96895099999998,59.40733499999999,17.97395099999998,1,1,2870000,53000,2,35,-10,-60,-5,-40,20,-95,-50
59.40933499999999,17.97395099999998,59.40733499999999,17.978950999999977,1,1,2710000,52000,5,40,10,-60,-5,10,20,-25,5
59.40933499999999,17.978950999999977,59.40733499999999,17.983950999999976,1,1,2610000,51000,3,40,25,-60,-5,0,20,-20,-5
59.40933499999999,17.983950999999976,59.40733499999999,17.988950999999975,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.988950999999975,59.40733499999999,17.993950999999974,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.993950999999974,59.40733499999999,17.998950999999973,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,17.998950999999973,59.40733499999999,18.003950999999972,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,18.003950999999972,59.40733499999999,18.00895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,18.00895099999997,59.40733499999999,18.01395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,18.01395099999997,59.40733499999999,18.01895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,18.01895099999997,59.40733499999999,18.02395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,18.02395099999997,59.40733499999999,18.028950999999967,0,0,0,0,0,0,0,0,0,0,0,0,0
59.40933499999999,18.028950999999967,59.40733499999999,18.033950999999966,1,1,3480000,57000,3,35,30,-60,-5,0,20,-15,-10
59.40933499999999,18.033950999999966,59.40733499999999,18.038950999999965,1,1,3480000,57000,3,35,30,-60,-5,0,20,-15,-10
59.40933499999999,18.038950999999965,59.40733499999999,18.043950999999964,0,0,0,0,0,0,0,0,0,0,0,0,0
